tempo,abertura,alto,baixo,fechamento,volume,moeda
2022-12-22,16824.68,16868.52,16559.85,16821.43,176044.27235,BTC/USDT
2022-12-23,16821.9,16955.14,16731.13,16778.5,161612.00947,BTC/USDT
2022-12-24,16778.52,16869.99,16776.62,16836.12,100224.29096,BTC/USDT
2022-12-25,16835.73,16857.96,16721.0,16832.11,125441.07202,BTC/USDT
2022-12-26,16832.11,16944.52,16791.0,16919.39,124564.00656,BTC/USDT
2022-12-27,16919.39,16972.83,16592.37,16706.36,173749.58616,BTC/USDT
2022-12-28,16706.06,16785.19,16465.33,16547.31,193037.56577,BTC/USDT
2022-12-29,16547.32,16664.41,16488.91,16633.47,160998.47158,BTC/USDT
2022-12-30,16633.47,16677.35,16333.0,16607.48,164916.31174,BTC/USDT
2022-12-31,16607.48,16644.09,16470.0,16542.4,114490.42864,BTC/USDT
2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41374,BTC/USDT
2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57191,BTC/USDT
2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.53733,BTC/USDT
2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.18862,BTC/USDT
2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.56641,BTC/USDT
2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28415,BTC/USDT
2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.5688,BTC/USDT
2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.89695,BTC/USDT
2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.52723,BTC/USDT
2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.42581,BTC/USDT
2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.60653,BTC/USDT
2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32178,BTC/USDT
2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.87823,BTC/USDT
2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.74951,BTC/USDT
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549,BTC/USDT
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262,BTC/USDT
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,BTC/USDT
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,BTC/USDT
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,BTC/USDT
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,BTC/USDT
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,BTC/USDT
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,BTC/USDT
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,BTC/USDT
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,BTC/USDT
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,BTC/USDT
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,BTC/USDT
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,BTC/USDT
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,BTC/USDT
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,BTC/USDT
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,BTC/USDT
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,BTC/USDT
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,BTC/USDT
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,BTC/USDT
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,BTC/USDT
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,BTC/USDT
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,BTC/USDT
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,BTC/USDT
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,BTC/USDT
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717,BTC/USDT
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955,BTC/USDT
2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94247,BTC/USDT
2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58433,BTC/USDT
2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65163,BTC/USDT
2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.76791,BTC/USDT
2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.40109,BTC/USDT
2023-02-15,22199.84,24380.0,22047.28,24324.05,375669.16111,BTC/USDT
2023-02-16,24322.87,25250.0,23505.25,23517.72,450080.68366,BTC/USDT
2023-02-17,23517.72,25021.11,23339.37,24569.97,496813.21376,BTC/USDT
2023-02-18,24568.24,24877.0,24430.0,24631.95,216917.25213,BTC/USDT
2023-02-19,24632.05,25192.0,24192.57,24271.76,300395.99542,BTC/USDT
2023-02-20,24272.51,25121.23,23840.83,24842.2,346938.56997,BTC/USDT
2023-02-21,24843.89,25250.0,24148.34,24452.16,376000.82868,BTC/USDT
2023-02-22,24450.67,24476.05,23574.69,24182.21,379425.75365,BTC/USDT
2023-02-23,24182.21,24599.59,23608.0,23940.2,398400.45437,BTC/USDT
2023-02-24,23940.2,24132.35,22841.19,23185.29,343582.57453,BTC/USDT
2023-02-25,23184.04,23219.13,22722.0,23157.07,191311.8101,BTC/USDT
2023-02-26,23157.07,23689.99,23059.18,23554.85,202323.73623,BTC/USDT
2023-02-27,23554.85,23897.99,23106.77,23492.09,283706.0859,BTC/USDT
2023-02-28,23492.09,23600.0,23020.97,23141.57,264140.99894,BTC/USDT
2023-03-01,23141.57,24000.0,23020.03,23628.97,315287.41737,BTC/USDT
2023-03-02,23629.76,23796.93,23195.9,23465.32,239315.45219,BTC/USDT
2023-03-03,23465.32,23476.95,21971.13,22354.34,319954.19785,BTC/USDT
2023-03-04,22354.34,22410.0,22157.08,22346.57,121257.38132,BTC/USDT
2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.75786,BTC/USDT
2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.82957,BTC/USDT
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912,BTC/USDT
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,BTC/USDT
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,BTC/USDT
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,BTC/USDT
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,BTC/USDT
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,BTC/USDT
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,BTC/USDT
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,BTC/USDT
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,BTC/USDT
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,BTC/USDT
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,BTC/USDT
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,BTC/USDT
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,BTC/USDT
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,BTC/USDT
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,BTC/USDT
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296,BTC/USDT
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818,BTC/USDT
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544,BTC/USDT
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102,BTC/USDT
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353,BTC/USDT
2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.46898,BTC/USDT
2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44341,BTC/USDT
2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16008,BTC/USDT
2023-03-30,28348.6,29184.68,27686.0,28028.53,98865.43256,BTC/USDT
2023-03-31,28028.53,28656.69,27511.71,28465.36,78198.12139,BTC/USDT
2023-04-01,28465.36,28819.71,28220.27,28452.73,30238.44753,BTC/USDT
2023-04-02,28452.74,28530.0,27856.43,28171.87,37365.65692,BTC/USDT
2023-04-03,28171.87,28500.99,27200.24,27800.0,79180.01405,BTC/USDT
2023-04-04,27800.0,28444.44,27662.79,28165.47,49722.55691,BTC/USDT
2023-04-05,28165.47,28775.0,27805.1,28170.01,60737.64732,BTC/USDT
2023-04-06,28170.01,28182.05,27711.0,28033.82,40118.94963,BTC/USDT
2023-04-07,28033.83,28100.0,27766.94,27906.33,24762.09387,BTC/USDT
2023-04-08,27906.34,28154.99,27859.02,27938.38,19479.96735,BTC/USDT
2023-04-09,27938.38,28530.0,27800.0,28323.76,32531.16101,BTC/USDT
2023-04-10,28323.76,29770.0,28170.0,29637.34,67754.0622,BTC/USDT
2023-04-11,29637.35,30550.0,29590.0,30200.42,67990.07621,BTC/USDT
2023-04-12,30200.43,30486.0,29637.4,29888.07,62049.48451,BTC/USDT
2023-04-13,29888.07,30595.0,29854.59,30373.84,51934.11731,BTC/USDT
2023-04-14,30373.84,31000.0,29966.0,30466.93,75984.19452,BTC/USDT
2023-04-15,30466.93,30595.6,30202.0,30295.09,25429.81247,BTC/USDT
2023-04-16,30295.1,30549.99,30120.0,30304.65,26431.99322,BTC/USDT
2023-04-17,30304.66,30316.06,29240.65,29430.27,56441.81127,BTC/USDT
2023-04-18,29430.27,30485.0,29096.78,30380.01,62004.89434,BTC/USDT
2023-04-19,30380.01,30413.53,28520.0,28797.1,86575.48656,BTC/USDT
2023-04-20,28797.1,29088.3,28010.0,28243.65,76879.09372,BTC/USDT
2023-04-21,28243.65,28374.02,27125.0,27262.84,77684.7679,BTC/USDT
2023-04-22,27262.84,27882.72,27140.35,27816.85,36023.69686,BTC/USDT
2023-04-23,27816.85,27816.85,27311.25,27590.6,34812.09581,BTC/USDT
2023-04-24,27590.59,28000.0,26942.82,27510.93,53111.56874,BTC/USDT
2023-04-25,27510.93,28399.99,27192.0,28300.79,52325.14637,BTC/USDT
2023-04-26,28300.8,30036.0,27235.0,28415.29,129228.40403,BTC/USDT
2023-04-27,28415.29,29890.0,28378.86,29472.77,95430.82431,BTC/USDT
2023-04-28,29472.77,29599.54,28891.0,29311.7,54298.16578,BTC/USDT
2023-04-29,29311.69,29448.88,29031.0,29230.45,20466.83058,BTC/USDT
2023-04-30,29230.45,29969.39,29079.59,29233.21,39752.5372,BTC/USDT
2023-05-01,29233.2,29337.34,27666.95,28068.26,64433.65958,BTC/USDT
